id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57110028bc74b,48,Female,32,no,objTwoColors,#FF8000,0,44,34,5,0.72,0.05,0.14,0.16,0.23,0.17
57112d8509632,45,Female,32,no,objTwoColors,#FF8000,5,54,46,5,0.74,0,0.14,0.14,0.2,0.15
571154184c9bd,47,Female,32,no,objTwoColors,#FF8000,22,0,1,5,0.67,0.1,0.14,0.21,0.27,0.23
571183866d73f,48,Female,32,no,objTwoColors,#FF8000,4,59,44,5,0.75,0.01,0.14,0.14,0.19,0.15
5712a47f6f8a6,44,Male,12,no,objTwoColors,#FF8000,59,67,9,2,0.48,0.17,0.14,0.12,0.17,0.14
5713b10383207,40,Male,32,no,objTwoColors,#FF8000,4,0,424,3,0.74,0.12,0.09,0.24,0.29,0.26
5714d563c6e52,49,Female,13,no,objTwoColors,#FF8000,0,5,373,4,0.73,0.12,0.15,0.23,0.29,0.26
573664e1a4a96,49,Male,18,no,objTwoColors,#FF8000,353,57,96,5,0.74,0.03,0.14,0.14,0.2,0.14
573c70dabcfe0,49,Male,32,yes,objTwoColors,#FF7200,142,73,568,3,0.41,0.3,0.14,0.09,0.19,0.18
5740ad339507d,40,Male,32,yes,objTwoColors,#FF7200,7,0,5,3,0.73,0.12,0.15,0.23,0.29,0.26
5740e3f36a945,49,Female,32,yes,objTwoColors,#FF7200,3,0,1,3,0.74,0.12,0.09,0.24,0.29,0.26
